itemCode,name,barcode,price,lastUpdated
781563,El Bocado Garrapiñada Castañas de Caju Salted Caramel 100g,,"$  5.500,0",14/07/25 15:35
781330,Holsom Fuck Sugar Crema Americana 120g,,"$  8.200,0",23/07/25 09:54
781330,Holsom Fuck Sugar Crema Americana 120g,,"$  8.500,0",23/07/25 09:54
780768,Selvatico Latte M L. Almendras ,,"$  5.200,0",04/04/25 18:52
780768,Selvatico Latte M L. Almendras ,,"$  4.300,0",04/04/25 18:52
780769,Selvatico Latte M L. Descremada,,"$  5.200,0",04/04/25 18:52
780769,Selvatico Latte M L. Descremada,,"$  4.300,0",04/04/25 18:52
780770,Selvatico Latte M L. Deslactosada,,"$  5.200,0",04/04/25 18:52
780770,Selvatico Latte M L. Deslactosada,,"$  4.300,0",04/04/25 18:52
780351,Selvatico Latte Pistacho G L. Almendras,,"$  5.500,0",04/04/25 16:48
780351,Selvatico Latte Pistacho G L. Almendras,,"$  5.800,0",04/04/25 16:48
780352,Selvatico Latte Pistacho G L. Descremado,,"$  5.500,0",04/04/25 16:48
780352,Selvatico Latte Pistacho G L. Descremado,,"$  5.800,0",04/04/25 16:48
780353,Selvatico Latte Pistacho G L. Deslactosado,,"$  5.500,0",04/04/25 16:48
780353,Selvatico Latte Pistacho G L. Deslactosado,,"$  5.800,0",04/04/25 16:48
780354,Selvatico Latte Pistacho G L. Entera,,"$  5.500,0",04/04/25 16:48
780354,Selvatico Latte Pistacho G L. Entera,,"$  5.800,0",04/04/25 16:48
780348,Selvatico Latte Pistacho M L. Almendras,,"$  5.000,0",04/04/25 16:48
780348,Selvatico Latte Pistacho M L. Almendras,,"$  5.500,0",04/04/25 16:48
780349,Selvatico Latte Pistacho M L. Descremado,,"$  5.000,0",04/04/25 16:48
780349,Selvatico Latte Pistacho M L. Descremado,,"$  5.500,0",04/04/25 16:48
780350,Selvatico Latte Pistacho M. L. Deslactosado,,"$  5.000,0",04/04/25 16:48
780350,Selvatico Latte Pistacho M. L. Deslactosado,,"$  5.500,0",04/04/25 16:48
780347,Selvatico Latte Pistacho M. L. Entera,,"$  5.000,0",04/04/25 16:48
780347,Selvatico Latte Pistacho M. L. Entera,,"$  5.500,0",04/04/25 16:48
781382,Bohemia Perfume Ambiental Mercat Limon y Jengibre 250ml,,"$  11.800,0",12/06/25 14:55
10568, BBPC Hasta la Vendimia Siempre Chardonay,7798101020234,"$  18.900,0",02/09/24 13:03
